ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	0	10,8	2232,2685	8,14	3690,4087	212	99	1	1.0	0.002,0.001	0.001,0.002	0.0
8	"ENSG00000278932"	NA	chr21	+	9325014	9325823	9325014	9325223	9325604	9325823	8	0,8	0,0	0,0	0,3	480	99	1	1.0	NA,1.0	NA,0.0	1.0
19	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	19	9,10	76,111	4,13	46,69	419	99	0.376126334659	0.6028176375002082	0.027,0.021	0.02,0.043	-0.007
20	"ENSG00000182670"	"TTC3"	chr21	+	37201439	37203080	37201439	37201570	37202283	37203080	20	1973,2161	18,10	1756,1642	17,8	812	99	0.819364451569	1.0	0.93,0.963	0.926,0.962	0.003
21	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	21	328,379	493,571	200,202	356,191	322	99	0.386672461481	0.6157555479258928	0.17,0.169	0.147,0.245	-0.026
22	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	22	8666,9570	17,14	10742,9860	12,21	2353	99	0.847503032721	1.0	0.955,0.966	0.974,0.952	-0.003
28	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	28	6,5	23,71	0,0	0,6	1071	99	1	1.0	0.024,0.006	NA,0.0	0.015
29	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	29	1,5	40,62	0,0	0,4	313	99	1	1.0	0.008,0.025	NA,0.0	0.017
31	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	31	9,22	29,34	41,11	102,48	223	99	0.299063187648	0.5077823144289584	0.121,0.223	0.151,0.092	0.05
32	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	32	1,2	121,130	3,0	152,172	1173	99	1	1.0	0.001,0.001	0.002,0.0	0.0
33	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	33	24,30	124,132	20,15	189,219	1382	99	0.0607158513532	0.1426748553266274	0.014,0.016	0.008,0.005	0.008
34	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574124	32573283	32573368	32574095	32574124	34	4,8	0,0	20,6	2,0	826	99	0.499232790706	0.7359667712676433	1.0,1.0	0.545,1.0	0.228
38	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	38	653,770	680,766	959,813	765,575	2321	99	0.00782688551557	0.025834078496002433	0.039,0.041	0.051,0.057	-0.014
39	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	39	260,325	591,615	464,323	630,572	767	99	0.0156960098291	0.046277613031661766	0.054,0.064	0.087,0.068	-0.019
