ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46124884	46124920	1	0,2	3,6	0,2	21,77	147	99	0.775036407053	1.0	0.0,0.183	0.0,0.017	0.083
2	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	2	0,2	41,45	0,0	107,180	147	99	1	1.0	0.0,0.029	0.0,0.0	0.015
3	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29067555	29067705	3	2150,2443	0,2	3110,3856	0,0	393	99	1	1.0	1.0,0.997	1.0,1.0	-0.002
17	"ENSG00000278932"	NA	chr21	+	9368465	9368911	9368667	9368911	9367173	9367275	17	2,0	3,0	1,0	0,2	301	99	1	1.0	0.18,NA	1.0,0.0	-0.32
31	"ENSG00000237945"	"LINC00649"	chr21	+	33969236	33969598	33969240	33969598	33945809	33945895	31	35,53	2,0	21,17	2,0	103	99	0.868590131228	1.0	0.944,1.0	0.91,1.0	0.017
36	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445854	39445929	36	26,29	3,3	34,10	2,2	104	99	0.590752157516	1.0	0.892,0.902	0.942,0.826	0.013
37	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445864	39445892	37	7,1	0,3	11,15	6,0	104	99	0.954839811941	1.0	1.0,0.241	0.636,1.0	-0.198
38	"ENSG00000185437"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39445930	39446098	38	7,2	0,0	7,11	0,2	104	99	0.698422702691	1.0	1.0,1.0	1.0,0.84	0.08
39	"ENSG00000156299"	"TIAM1"	chr21	-	31118417	31120837	31118417	31118670	31124521	31124694	39	1348,1776	0,1	597,858	0,0	2266	99	1	1.0	1.0,0.987	1.0,1.0	-0.006
40	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910599	44910785	40	47,49	105,102	12,19	23,16	142	99	0.14565995432	0.44158220076279386	0.238,0.251	0.267,0.453	-0.115
41	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	41	47,55	2198,2706	10,17	646,569	142	99	0.934524758939	1.0	0.015,0.014	0.011,0.02	-0.001
43	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542547	33542820	43	99,82	6,5	105,128	10,14	132	99	0.124867303302	0.3960717450705687	0.925,0.925	0.887,0.873	0.045
44	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542586	33542842	44	75,89	7,10	67,101	8,4	132	99	0.33422163276	0.7786403022638722	0.889,0.87	0.863,0.95	-0.027
45	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33542590	33542892	45	66,60	1,2	60,87	0,0	132	99	0.430636793888	0.9095009174641715	0.98,0.957	1.0,1.0	-0.032
46	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33539170	33539323	33543219	33543491	46	66,59	0,0	58,87	0,2	132	99	1	1.0	1.0,1.0	1.0,0.97	0.015
49	"ENSG00000159267"	"HLCS"	chr21	-	36756541	36756980	36756541	36756755	36759726	36759841	49	20,39	51,60	17,50	121,112	324	99	0.0111669572624	0.06681847841145032	0.107,0.166	0.041,0.12	0.056
51	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45929919	45929995	45910901	45911030	51	3,11	0,1	0,2	7,0	102	99	0.00503787213385	0.03612820182902165	1.0,0.914	0.0,1.0	0.457
52	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45929919	45929995	45913950	45914025	52	3,2	0,2	1,5	0,0	102	99	0.498597978859	0.9851491380733223	1.0,0.493	1.0,1.0	-0.254
53	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45929919	45929995	45917587	45917629	53	28,33	57,48	30,17	40,11	102	99	0.11875885717	0.38250423431256186	0.323,0.4	0.421,0.6	-0.149
54	"ENSG00000183570"	"PCBP3"	chr21	+	45940029	45940199	45940036	45940199	45935252	45935305	54	66,82	0,7	50,27	1,0	106	99	0.0443947488167	0.18633528877861263	1.0,0.916	0.979,1.0	-0.032
55	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	55	644,839	1,0	1017,936	8,11	2177	99	2.7097244969e-06	7.095588552447422e-05	0.967,1.0	0.853,0.795	0.159
59	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42687916	42687994	59	0,0	14,26	66,52	1704,799	154	99	0.0107312920343	0.0651381089185202	0.0,0.0	0.024,0.04	-0.032
62	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	62	0,0	6,8	1,0	11,13	102	99	1	1.0	0.0,0.0	0.081,0.0	-0.041
63	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242	63	11,2	0,0	4,14	1,0	148	99	1	1.0	1.0,1.0	0.728,1.0	0.136
64	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060281	36060313	64	11,2	2,7	4,14	3,4	148	99	0.446216972599	0.9254306496564016	0.786,0.16	0.471,0.701	-0.113
65	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060346	36060526	65	27,13	14,19	26,59	28,21	148	99	0.495859946906	0.9823792970943359	0.563,0.314	0.383,0.653	-0.08
66	"ENSG00000160216"	"AGPAT3"	chr21	+	43967868	43968115	43967945	43968115	43960631	43960779	66	0,5	8,11	16,10	10,34	176	99	0.0668515281324	0.25336868146645575	0.0,0.204	0.474,0.142	-0.206
67	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43743723	43743807	43741666	43741771	67	15,20	478,553	35,33	651,902	154	99	0.228569888374	0.605937333745713	0.02,0.023	0.033,0.023	-0.007
68	"ENSG00000160209"	"PDXK"	chr21	+	43755476	43755764	43755697	43755764	43753582	43753719	68	3,9	592,620	16,17	953,1125	320	99	1	1.0	0.002,0.004	0.005,0.005	-0.002
71	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32574575	32576923	32574575	32574676	32578693	32578831	71	96,107	2,0	160,182	0,0	2346	99	0.644061332779	1.0	0.669,1.0	1.0,1.0	-0.165
72	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682	72	1367,1634	3,2	1705,1413	9,6	2430	99	0.0159701786723	0.08687697410851207	0.949,0.971	0.885,0.906	0.065
